# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Apr 22 14:30:18 PKT 2021
#
Overall, A_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,16) frames.
Overall, G_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,14) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,18) frames.
Overall, D_Z_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,20) frames.
Overall, K_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,15) frames.
The optional-silence phone SIL occupies 19.2% of frames overall 
Limiting the stats to the 87.7% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 8.0% of frames.
Assuming 100 frames per second, the alignments represent 4.6 hours of data, or 3.7 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 3.8% of utterance-internal phones, with duration (median, mean, 95-percentile) = (13,23.4,77)
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Apr 22 14:30:18 PKT 2021, elapsed time 0 seconds
